Paiva;Kuukausi;Viikko;vpnimi;Tunti;Vedenkulutus;yli_alle
23;11;47;ke;02;0.04;0
23;11;47;ke;03;0.03;0
23;11;47;ke;04;0.06;0
24;11;47;to;01;0.06;0
24;11;47;to;02;0.06;0
24;11;47;to;03;0.01;1
24;11;47;to;04;0.01;1
25;11;47;pe;01;0.14;0
25;11;47;pe;02;0.05;0
25;11;47;pe;03;0.03;0
25;11;47;pe;04;0.03;0
26;11;47;la;01;0.09;0
26;11;47;la;02;0.04;0
26;11;47;la;03;0.04;0
26;11;47;la;04;0.03;0
27;11;47;su;01;0.14;0
27;11;47;su;02;0.06;0
27;11;47;su;03;0.03;0
27;11;47;su;04;0.07;0
28;11;48;ma;01;0.08;0
28;11;48;ma;02;0.03;0
28;11;48;ma;03;0.03;0
28;11;48;ma;04;0.07;0
29;11;48;ti;01;0.02;1
29;11;48;ti;02;0.02;1
29;11;48;ti;03;0.01;1
29;11;48;ti;04;0.02;1
30;11;48;ke;01;0.06;0
30;11;48;ke;02;0.02;1
30;11;48;ke;03;0.02;1
30;11;48;ke;04;0.07;0
1;12;48;to;01;0.1;0
1;12;48;to;02;0.03;0
1;12;48;to;03;0.01;1
1;12;48;to;04;0.01;1
2;12;48;pe;01;0.02;1
2;12;48;pe;02;0.01;1
2;12;48;pe;03;0.02;1
2;12;48;pe;04;0.02;1
3;12;48;la;01;0.09;0
3;12;48;la;02;0.05;0
3;12;48;la;03;0.02;1
3;12;48;la;04;0.05;0
4;12;48;su;01;0.02;1
4;12;48;su;02;0.02;1
4;12;48;su;03;0.09;0
4;12;48;su;04;0.06;0
5;12;49;ma;01;0.05;0
5;12;49;ma;02;0.03;0
5;12;49;ma;03;0.04;0
5;12;49;ma;04;0.08;0
6;12;49;ti;01;0.12;0
6;12;49;ti;02;0.03;0
6;12;49;ti;03;0.06;0
6;12;49;ti;04;0.06;0
7;12;49;ke;01;0.1;0
7;12;49;ke;02;0.01;1
7;12;49;ke;03;0.02;1
7;12;49;ke;04;0.02;1
8;12;49;to;01;0.06;0
8;12;49;to;02;0.01;1
8;12;49;to;03;0.04;0
8;12;49;to;04;0.02;1
9;12;49;pe;01;0.05;0
9;12;49;pe;02;0.02;1
9;12;49;pe;03;0.01;1
9;12;49;pe;04;0.06;0
10;12;49;la;01;0.07;0
10;12;49;la;02;0.04;0
10;12;49;la;03;0.11;0
10;12;49;la;04;0.04;0
11;12;49;su;01;0.03;0
11;12;49;su;02;0.04;0
11;12;49;su;03;0.04;0
11;12;49;su;04;0.02;1
12;12;50;ma;01;0.08;0
12;12;50;ma;02;0.02;1
12;12;50;ma;03;0;1
12;12;50;ma;04;0.04;0
13;12;50;ti;01;0.04;0
13;12;50;ti;02;0.02;1
13;12;50;ti;03;0.03;0
13;12;50;ti;04;0.07;0
14;12;50;ke;01;0.01;1
14;12;50;ke;02;0.05;0
14;12;50;ke;03;0.01;1
14;12;50;ke;04;0.03;0
15;12;50;to;01;0.02;1
15;12;50;to;02;0.02;1
15;12;50;to;03;0.01;1
15;12;50;to;04;0.02;1
16;12;50;pe;01;0.03;0
16;12;50;pe;02;0.03;0
16;12;50;pe;03;0.01;1
16;12;50;pe;04;0.01;1
17;12;50;la;01;0.09;0
17;12;50;la;02;0;1
17;12;50;la;03;0.01;1
17;12;50;la;04;0.02;1
18;12;50;su;01;0.07;0
18;12;50;su;02;0.04;0
18;12;50;su;03;0.02;1
18;12;50;su;04;0.05;0
19;12;51;ma;01;0.06;0
19;12;51;ma;02;0.03;0
19;12;51;ma;03;0.01;1
19;12;51;ma;04;0.01;1
20;12;51;ti;01;0.01;1
20;12;51;ti;02;0.05;0
20;12;51;ti;03;0.01;1
20;12;51;ti;04;0.02;1
21;12;51;ke;01;0.03;0
21;12;51;ke;02;0.03;0
21;12;51;ke;03;0.03;0
21;12;51;ke;04;0.01;1
22;12;51;to;01;0.04;0
22;12;51;to;02;0.02;1
22;12;51;to;03;0.04;0
22;12;51;to;04;0.04;0
23;12;51;pe;01;0.1;0
23;12;51;pe;02;0.02;1
23;12;51;pe;03;0;1
23;12;51;pe;04;0.06;0
24;12;51;la;01;0.09;0
24;12;51;la;02;0.03;0
24;12;51;la;03;0.02;1
24;12;51;la;04;0.07;0
25;12;51;su;01;0.11;0
25;12;51;su;02;0.02;1
25;12;51;su;03;0.01;1
25;12;51;su;04;0.01;1
26;12;52;ma;01;0.06;0
26;12;52;ma;02;0.04;0
26;12;52;ma;03;0.01;1
26;12;52;ma;04;0.02;1
27;12;52;ti;01;0.06;0
27;12;52;ti;02;0.04;0
27;12;52;ti;03;0.01;1
27;12;52;ti;04;0.08;0
28;12;52;ke;01;0.13;0
28;12;52;ke;02;0.04;0
28;12;52;ke;03;0.04;0
28;12;52;ke;04;0.03;0
29;12;52;to;01;0.05;0
29;12;52;to;02;0.06;0
29;12;52;to;03;0.03;0
29;12;52;to;04;0.04;0
30;12;52;pe;01;0.03;0
30;12;52;pe;02;0.05;0
30;12;52;pe;03;0.01;1
30;12;52;pe;04;0.05;0
31;12;52;la;01;0.05;0
31;12;52;la;02;0.02;1
31;12;52;la;03;0.03;0
31;12;52;la;04;0.02;1
1;1;52;su;01;0.16;0
1;1;52;su;02;0.17;0
1;1;52;su;03;0.04;0
1;1;52;su;04;0.09;0
2;1;1;ma;01;0.14;0
2;1;1;ma;02;0.04;0
2;1;1;ma;03;0.05;0
2;1;1;ma;04;0.03;0
3;1;1;ti;01;0.01;1
3;1;1;ti;02;0.04;0
3;1;1;ti;03;0.04;0
3;1;1;ti;04;0.04;0
4;1;1;ke;01;0.01;1
4;1;1;ke;02;0.02;1
4;1;1;ke;03;0.02;1
4;1;1;ke;04;0.03;0
5;1;1;to;01;0.03;0
5;1;1;to;02;0.01;1
5;1;1;to;03;0.1;0
5;1;1;to;04;0.04;0
6;1;1;pe;01;0.08;0
6;1;1;pe;02;0.03;0
6;1;1;pe;03;0.04;0
6;1;1;pe;04;0.04;0
7;1;1;la;01;0.04;0
7;1;1;la;02;0.04;0
7;1;1;la;03;0.08;0
7;1;1;la;04;0.18;0
8;1;1;su;01;0.06;0
8;1;1;su;02;0.02;1
8;1;1;su;03;0.02;1
8;1;1;su;04;0.09;0
9;1;2;ma;01;0.02;1
9;1;2;ma;02;0.16;0
9;1;2;ma;03;0.02;1
9;1;2;ma;04;0.02;1
10;1;2;ti;01;0.14;0
10;1;2;ti;02;0.03;0
10;1;2;ti;03;0.03;0
10;1;2;ti;04;0.05;0
11;1;2;ke;01;0.04;0
11;1;2;ke;02;0.04;0
11;1;2;ke;03;0.01;1
11;1;2;ke;04;0.04;0
12;1;2;to;01;0.04;0
12;1;2;to;02;0.06;0
12;1;2;to;03;0.02;1
12;1;2;to;04;0.04;0
13;1;2;pe;01;0.01;1
13;1;2;pe;02;0.02;1
13;1;2;pe;03;0.04;0
13;1;2;pe;04;0.04;0
14;1;2;la;01;0.03;0
14;1;2;la;02;0.05;0
14;1;2;la;03;0.05;0
14;1;2;la;04;0.06;0
15;1;2;su;01;0.04;0
15;1;2;su;02;0.01;1
15;1;2;su;03;0.04;0
15;1;2;su;04;0.04;0
16;1;3;ma;01;0.02;1
16;1;3;ma;02;0.05;0
16;1;3;ma;03;0.01;1
16;1;3;ma;04;0.04;0
17;1;3;ti;01;0.05;0
17;1;3;ti;02;0.01;1
17;1;3;ti;03;0.01;1
17;1;3;ti;04;0.03;0
18;1;3;ke;01;0.04;0
18;1;3;ke;02;0.06;0
18;1;3;ke;03;0.05;0
18;1;3;ke;04;0.01;1
19;1;3;to;01;0.02;1
19;1;3;to;02;0.06;0
19;1;3;to;03;0.03;0
19;1;3;to;04;0.04;0
20;1;3;pe;01;0.05;0
20;1;3;pe;02;0.05;0
20;1;3;pe;03;0.02;1
20;1;3;pe;04;0.02;1
21;1;3;la;01;0.02;1
21;1;3;la;02;0.03;0
21;1;3;la;03;0.03;0
21;1;3;la;04;0.03;0
22;1;3;su;01;0.07;0
22;1;3;su;02;0.03;0
22;1;3;su;03;0.05;0
22;1;3;su;04;0;1
23;1;4;ma;01;0.06;0
23;1;4;ma;02;0.05;0
23;1;4;ma;03;0.04;0
23;1;4;ma;04;0.02;1
24;1;4;ti;01;0.04;0
24;1;4;ti;02;0.09;0
24;1;4;ti;03;0.02;1
24;1;4;ti;04;0.24;0
25;1;4;ke;01;0.02;1
25;1;4;ke;02;0.02;1
25;1;4;ke;03;0.04;0
25;1;4;ke;04;0;1
26;1;4;to;01;0.03;0
26;1;4;to;02;0.05;0
26;1;4;to;03;0.02;1
26;1;4;to;04;0.03;0
27;1;4;pe;01;0.09;0
27;1;4;pe;02;0.05;0
27;1;4;pe;03;0;1
27;1;4;pe;04;0.01;1
28;1;4;la;01;0.12;0
28;1;4;la;02;0.02;1
28;1;4;la;03;0.03;0
28;1;4;la;04;0.03;0
29;1;4;su;01;0.14;0
29;1;4;su;02;0;1
29;1;4;su;03;0.03;0
29;1;4;su;04;0.07;0
30;1;5;ma;01;0.03;0
30;1;5;ma;02;0.04;0
30;1;5;ma;03;0.02;1
30;1;5;ma;04;0.05;0
31;1;5;ti;01;0.04;0
31;1;5;ti;02;0;1
31;1;5;ti;03;0.03;0
31;1;5;ti;04;0.02;1
1;2;5;ke;01;0.03;0
1;2;5;ke;02;0.04;0
1;2;5;ke;03;0.01;1
1;2;5;ke;04;0.03;0
2;2;5;to;01;0.01;1
2;2;5;to;02;0.04;0
2;2;5;to;03;0.01;1
2;2;5;to;04;0.03;0
3;2;5;pe;01;0.03;0
3;2;5;pe;02;0.07;0
3;2;5;pe;03;0.02;1
3;2;5;pe;04;0.1;0
4;2;5;la;01;0.11;0
4;2;5;la;02;0.01;1
4;2;5;la;03;0.05;0
4;2;5;la;04;0.07;0
5;2;5;su;01;0.06;0
5;2;5;su;02;0.02;1
5;2;5;su;03;0.04;0
5;2;5;su;04;0.03;0
6;2;6;ma;01;0.02;1
6;2;6;ma;02;0.05;0
6;2;6;ma;03;0.03;0
6;2;6;ma;04;0.06;0
7;2;6;ti;01;0.02;1
7;2;6;ti;02;0.02;1
7;2;6;ti;03;0.02;1
7;2;6;ti;04;0.05;0
8;2;6;ke;01;0.04;0
8;2;6;ke;02;0.03;0
8;2;6;ke;03;0.05;0
8;2;6;ke;04;0.01;1
9;2;6;to;01;0.07;0
9;2;6;to;02;0.03;0
9;2;6;to;03;0.05;0
9;2;6;to;04;0.04;0
10;2;6;pe;01;0.03;0
10;2;6;pe;02;0.02;1
10;2;6;pe;03;0.05;0
10;2;6;pe;04;0.02;1
11;2;6;la;01;0.13;0
11;2;6;la;02;0;1
11;2;6;la;03;0.01;1
11;2;6;la;04;0;1
12;2;6;su;01;0.04;0
12;2;6;su;02;0.03;0
12;2;6;su;03;0.01;1
12;2;6;su;04;0.03;0
13;2;7;ma;01;0.08;0
13;2;7;ma;02;0.02;1
13;2;7;ma;03;0.03;0
13;2;7;ma;04;0.05;0
14;2;7;ti;01;0.04;0
14;2;7;ti;02;0.04;0
14;2;7;ti;03;0.09;0
14;2;7;ti;04;0.01;1
15;2;7;ke;01;0.03;0
15;2;7;ke;02;0.02;1
15;2;7;ke;03;0.03;0
15;2;7;ke;04;0.03;0
16;2;7;to;01;0.08;0
16;2;7;to;02;0.03;0
16;2;7;to;03;0.01;1
16;2;7;to;04;0.02;1
17;2;7;pe;01;0.04;0
17;2;7;pe;02;0.01;1
17;2;7;pe;03;0.08;0
17;2;7;pe;04;0.02;1
18;2;7;la;01;0.02;1
18;2;7;la;02;0.06;0
18;2;7;la;03;0.04;0
18;2;7;la;04;0.01;1
19;2;7;su;01;0.04;0
19;2;7;su;02;0.04;0
19;2;7;su;03;0.03;0
19;2;7;su;04;0.02;1
20;2;8;ma;01;0.01;1
20;2;8;ma;02;0.04;0
20;2;8;ma;03;0.02;1
20;2;8;ma;04;0.08;0
21;2;8;ti;01;0.01;1
21;2;8;ti;02;0.03;0
21;2;8;ti;03;0.02;1
21;2;8;ti;04;0.03;0
22;2;8;ke;01;0.04;0
22;2;8;ke;02;0.02;1
22;2;8;ke;03;0.02;1
22;2;8;ke;04;0.02;1
23;2;8;to;01;0.02;1
23;2;8;to;02;0.01;1
23;2;8;to;03;0.02;1
23;2;8;to;04;0.02;1
24;2;8;pe;01;0.04;0
24;2;8;pe;02;0.01;1
24;2;8;pe;03;0.02;1
24;2;8;pe;04;0.04;0
25;2;8;la;01;0.04;0
25;2;8;la;02;0.04;0
25;2;8;la;03;0.05;0
25;2;8;la;04;0.05;0
26;2;8;su;01;0.09;0
26;2;8;su;02;0.03;0
26;2;8;su;03;0.08;0
26;2;8;su;04;0.02;1
27;2;9;ma;01;0.09;0
27;2;9;ma;02;0.02;1
27;2;9;ma;03;0.02;1
27;2;9;ma;04;0.02;1
28;2;9;ti;01;0.08;0
28;2;9;ti;02;0.09;0
28;2;9;ti;03;0.02;1
28;2;9;ti;04;0.01;1
1;3;9;ke;01;0.03;0
1;3;9;ke;02;0.01;1
1;3;9;ke;03;0.07;0
1;3;9;ke;04;0.04;0
2;3;9;to;01;0.04;0
2;3;9;to;02;0.07;0
2;3;9;to;03;0.04;0
2;3;9;to;04;0.06;0
3;3;9;pe;01;0.02;1
3;3;9;pe;02;0.04;0
3;3;9;pe;03;0.03;0
3;3;9;pe;04;0.01;1
4;3;9;la;01;0.09;0
4;3;9;la;02;0.04;0
4;3;9;la;03;0.03;0
4;3;9;la;04;0.04;0
5;3;9;su;01;0.06;0
5;3;9;su;02;0.01;1
5;3;9;su;03;0.01;1
5;3;9;su;04;0.04;0
6;3;10;ma;01;0.02;1
6;3;10;ma;02;0.09;0
6;3;10;ma;03;0;1
6;3;10;ma;04;0.03;0
7;3;10;ti;01;0.09;0
7;3;10;ti;02;0.03;0
7;3;10;ti;03;0.02;1
7;3;10;ti;04;0.01;1
8;3;10;ke;01;0.01;1
8;3;10;ke;02;0.05;0
8;3;10;ke;03;0.03;0
8;3;10;ke;04;0.03;0
9;3;10;to;01;0.11;0
9;3;10;to;02;0.02;1
9;3;10;to;03;0.01;1
9;3;10;to;04;0.01;1
10;3;10;pe;01;0.04;0
10;3;10;pe;02;0.01;1
10;3;10;pe;03;0.01;1
10;3;10;pe;04;0.03;0
11;3;10;la;01;0.06;0
11;3;10;la;02;0.03;0
11;3;10;la;03;0.04;0
11;3;10;la;04;0.04;0
12;3;10;su;01;0.02;1
12;3;10;su;02;0.05;0
12;3;10;su;03;0.01;1
12;3;10;su;04;0.02;1
13;3;11;ma;01;0.04;0
13;3;11;ma;02;0.03;0
13;3;11;ma;03;0.02;1
13;3;11;ma;04;0.08;0
14;3;11;ti;01;0.04;0
14;3;11;ti;02;0.04;0
14;3;11;ti;03;0.03;0
14;3;11;ti;04;0.06;0
15;3;11;ke;01;0.03;0
15;3;11;ke;02;0.05;0
15;3;11;ke;03;0.01;1
15;3;11;ke;04;0.02;1
16;3;11;to;01;0.05;0
16;3;11;to;02;0.03;0
16;3;11;to;03;0.01;1
16;3;11;to;04;0;1
17;3;11;pe;01;0.05;0
17;3;11;pe;02;0.03;0
17;3;11;pe;03;0.02;1
17;3;11;pe;04;0.01;1
18;3;11;la;01;0.1;0
18;3;11;la;02;0.02;1
18;3;11;la;03;0.03;0
18;3;11;la;04;0.02;1
19;3;11;su;01;0.03;0
19;3;11;su;02;0.01;1
19;3;11;su;03;0.06;0
19;3;11;su;04;0.01;1
20;3;12;ma;01;0.06;0
20;3;12;ma;02;0.02;1
20;3;12;ma;03;0;1
20;3;12;ma;04;0.02;1
21;3;12;ti;01;0.02;1
21;3;12;ti;02;0.02;1
21;3;12;ti;03;0.02;1
21;3;12;ti;04;0.06;0
22;3;12;ke;01;0.08;0
22;3;12;ke;02;0.01;1
22;3;12;ke;03;0.01;1
22;3;12;ke;04;0.02;1
23;3;12;to;01;0.05;0
23;3;12;to;02;0.03;0
23;3;12;to;03;0.02;1
23;3;12;to;04;0.01;1
24;3;12;pe;01;0.03;0
24;3;12;pe;02;0.06;0
24;3;12;pe;03;0.03;0
24;3;12;pe;04;0.04;0
25;3;12;la;01;0.03;0
25;3;12;la;02;0.06;0
25;3;12;la;03;0.05;0
25;3;12;la;04;0.1;0
26;3;12;su;01;0.11;0
26;3;12;su;02;0.02;1
26;3;12;su;03;0;1
26;3;12;su;04;0.08;0
27;3;13;ma;01;0.14;0
27;3;13;ma;02;0.03;0
27;3;13;ma;03;0;1
27;3;13;ma;04;0.06;0
28;3;13;ti;01;0.09;0
28;3;13;ti;02;0.02;1
28;3;13;ti;03;0.01;1
28;3;13;ti;04;0.03;0
29;3;13;ke;01;0.03;0
29;3;13;ke;02;0.06;0
29;3;13;ke;03;0.02;1
29;3;13;ke;04;0.1;0
30;3;13;to;01;0.05;0
30;3;13;to;02;0.03;0
30;3;13;to;03;0.03;0
30;3;13;to;04;0;1
31;3;13;pe;01;0.01;1
31;3;13;pe;02;0.04;0
31;3;13;pe;03;0.03;0
31;3;13;pe;04;0.02;1
1;4;13;la;01;0.09;0
1;4;13;la;02;0.02;1
1;4;13;la;03;0.04;0
1;4;13;la;04;0.05;0
2;4;13;su;01;0.05;0
2;4;13;su;02;0.02;1
2;4;13;su;03;0.02;1
2;4;13;su;04;0.03;0
3;4;14;ma;01;0.06;0
3;4;14;ma;02;0.03;0
3;4;14;ma;03;0.03;0
3;4;14;ma;04;0.02;1
4;4;14;ti;01;0.04;0
4;4;14;ti;02;0.01;1
4;4;14;ti;03;0.01;1
4;4;14;ti;04;0;1
5;4;14;ke;01;0.04;0
5;4;14;ke;02;0.02;1
5;4;14;ke;03;0.03;0
5;4;14;ke;04;0.04;0
6;4;14;to;01;0.04;0
6;4;14;to;02;0;1
6;4;14;to;03;0.03;0
6;4;14;to;04;0.01;1
7;4;14;pe;01;0.03;0
7;4;14;pe;02;0.01;1
7;4;14;pe;03;0;1
7;4;14;pe;04;0.04;0
8;4;14;la;01;0.01;1
8;4;14;la;02;0.01;1
8;4;14;la;03;0;1
8;4;14;la;04;0.03;0
9;4;14;su;01;0.03;0
9;4;14;su;02;0.03;0
9;4;14;su;03;0.01;1
9;4;14;su;04;0.02;1
10;4;15;ma;01;0.06;0
10;4;15;ma;02;0.04;0
10;4;15;ma;03;0.01;1
10;4;15;ma;04;0.01;1
11;4;15;ti;01;0.05;0
11;4;15;ti;02;0.04;0
11;4;15;ti;03;0.02;1
11;4;15;ti;04;0;1
12;4;15;ke;01;0.05;0
12;4;15;ke;02;0.01;1
12;4;15;ke;03;0.01;1
12;4;15;ke;04;0.02;1
13;4;15;to;01;0.07;0
13;4;15;to;02;0.04;0
13;4;15;to;03;0.02;1
13;4;15;to;04;0;1
14;4;15;pe;01;0.05;0
14;4;15;pe;02;0.05;0
14;4;15;pe;03;0;1
14;4;15;pe;04;0.01;1
15;4;15;la;01;0.06;0
15;4;15;la;02;0.03;0
15;4;15;la;03;0.03;0
15;4;15;la;04;0.03;0
16;4;15;su;01;0.1;0
16;4;15;su;02;0.01;1
16;4;15;su;03;0;1
16;4;15;su;04;0.08;0
17;4;16;ma;01;0.05;0
17;4;16;ma;02;0.04;0
17;4;16;ma;03;0.02;1
17;4;16;ma;04;0;1
18;4;16;ti;01;0.07;0
18;4;16;ti;02;0.07;0
18;4;16;ti;03;0;1
18;4;16;ti;04;0.03;0
19;4;16;ke;01;0.02;1
19;4;16;ke;02;0.01;1
19;4;16;ke;03;0.03;0
19;4;16;ke;04;0;1
20;4;16;to;01;0.03;0
20;4;16;to;02;0.02;1
20;4;16;to;03;0.02;1
20;4;16;to;04;0.02;1
21;4;16;pe;01;0.02;1
21;4;16;pe;02;0.01;1
21;4;16;pe;03;0.01;1
21;4;16;pe;04;0.02;1
22;4;16;la;01;0.06;0
22;4;16;la;02;0.02;1
22;4;16;la;03;0.04;0
22;4;16;la;04;0.05;0
23;4;16;su;01;0.05;0
23;4;16;su;02;0.02;1
23;4;16;su;03;0;1
23;4;16;su;04;0.02;1
24;4;17;ma;01;0.03;0
24;4;17;ma;02;0.02;1
24;4;17;ma;03;0.01;1
24;4;17;ma;04;0.03;0
25;4;17;ti;01;0.04;0
25;4;17;ti;02;0.03;0
25;4;17;ti;03;0.01;1
25;4;17;ti;04;0.02;1
26;4;17;ke;01;0.13;0
26;4;17;ke;02;0.01;1
26;4;17;ke;03;0.12;0
26;4;17;ke;04;0.07;0
27;4;17;to;01;0.02;1
27;4;17;to;02;0.03;0
27;4;17;to;03;0.02;1
27;4;17;to;04;0.02;1
28;4;17;pe;01;0.05;0
28;4;17;pe;02;0.04;0
28;4;17;pe;03;0.02;1
28;4;17;pe;04;0.04;0
29;4;17;la;01;0.06;0
29;4;17;la;02;0.03;0
29;4;17;la;03;0.02;1
29;4;17;la;04;0.01;1
30;4;17;su;01;0.01;1
30;4;17;su;02;0.05;0
30;4;17;su;03;0.02;1
30;4;17;su;04;0.02;1
1;5;18;ma;01;0.05;0
1;5;18;ma;02;0.01;1
1;5;18;ma;03;0;1
1;5;18;ma;04;0;1
2;5;18;ti;01;0.03;0
2;5;18;ti;02;0.04;0
2;5;18;ti;03;0.02;1
2;5;18;ti;04;0.01;1
3;5;18;ke;01;0.01;1
3;5;18;ke;02;0.04;0
3;5;18;ke;03;0;1
3;5;18;ke;04;0.02;1
4;5;18;to;01;0.05;0
4;5;18;to;02;0.01;1
4;5;18;to;03;0.02;1
4;5;18;to;04;0;1
5;5;18;pe;01;0.03;0
5;5;18;pe;02;0;1
5;5;18;pe;03;0;1
5;5;18;pe;04;0.03;0
6;5;18;la;01;0.05;0
6;5;18;la;02;0.03;0
6;5;18;la;03;0.01;1
6;5;18;la;04;0.04;0
7;5;18;su;01;0.04;0
7;5;18;su;02;0.02;1
7;5;18;su;03;0.03;0
7;5;18;su;04;0.01;1
8;5;19;ma;01;0.04;0
8;5;19;ma;02;0.02;1
8;5;19;ma;03;0.02;1
8;5;19;ma;04;0.03;0
9;5;19;ti;01;0.08;0
9;5;19;ti;02;0.05;0
9;5;19;ti;03;0.02;1
9;5;19;ti;04;0.02;1
10;5;19;ke;01;0.1;0
10;5;19;ke;02;0.05;0
10;5;19;ke;03;0.01;1
10;5;19;ke;04;0.04;0
11;5;19;to;01;0.04;0
11;5;19;to;02;0.02;1
11;5;19;to;03;0.02;1
11;5;19;to;04;0.01;1
12;5;19;pe;01;0.06;0
12;5;19;pe;02;0.04;0
12;5;19;pe;03;0.01;1
12;5;19;pe;04;0.02;1
13;5;19;la;01;0.01;1
13;5;19;la;02;0.04;0
13;5;19;la;03;0;1
13;5;19;la;04;0.02;1
14;5;19;su;01;0.04;0
14;5;19;su;02;0.05;0
14;5;19;su;03;0.03;0
14;5;19;su;04;0;1
15;5;20;ma;01;0.11;0
15;5;20;ma;02;0.02;1
15;5;20;ma;03;0;1
15;5;20;ma;04;0.02;1
16;5;20;ti;01;0.02;1
16;5;20;ti;02;0.05;0
16;5;20;ti;03;0.03;0
16;5;20;ti;04;0.02;1
17;5;20;ke;01;0;1
17;5;20;ke;02;0.03;0
17;5;20;ke;03;0.01;1
17;5;20;ke;04;0.03;0
18;5;20;to;01;0.02;1
18;5;20;to;02;0.04;0
18;5;20;to;03;0.05;0
18;5;20;to;04;0.07;0
19;5;20;pe;01;0;1
19;5;20;pe;02;0.04;0
19;5;20;pe;03;0;1
19;5;20;pe;04;0.02;1
20;5;20;la;01;0.05;0
20;5;20;la;02;0.01;1
20;5;20;la;03;0.05;0
20;5;20;la;04;0.03;0
21;5;20;su;01;0.03;0
21;5;20;su;02;0.02;1
21;5;20;su;03;0;1
21;5;20;su;04;0.04;0
22;5;21;ma;01;0.01;1
22;5;21;ma;02;0.05;0
22;5;21;ma;03;0;1
22;5;21;ma;04;0.07;0
23;5;21;ti;01;0.02;1
23;5;21;ti;02;0.03;0
23;5;21;ti;03;0.02;1
23;5;21;ti;04;0;1
24;5;21;ke;01;0;1
24;5;21;ke;02;0.03;0
24;5;21;ke;03;0.01;1
24;5;21;ke;04;0;1
25;5;21;to;01;0.04;0
25;5;21;to;02;0.06;0
25;5;21;to;03;0;1
25;5;21;to;04;0.02;1
26;5;21;pe;01;0.01;1
26;5;21;pe;02;0.05;0
26;5;21;pe;03;0.01;1
26;5;21;pe;04;0.02;1
27;5;21;la;01;0.11;0
27;5;21;la;02;0.03;0
27;5;21;la;03;0.01;1
27;5;21;la;04;0.04;0
28;5;21;su;01;0.03;0
28;5;21;su;02;0.01;1
28;5;21;su;03;0;1
28;5;21;su;04;0.07;0
29;5;22;ma;01;0.09;0
29;5;22;ma;02;0.05;0
29;5;22;ma;03;0.01;1
29;5;22;ma;04;0;1
30;5;22;ti;01;0.03;0
30;5;22;ti;02;0.04;0
30;5;22;ti;03;0;1
30;5;22;ti;04;0;1
31;5;22;ke;01;0.02;1
31;5;22;ke;02;0.03;0
31;5;22;ke;03;0.05;0
31;5;22;ke;04;0.02;1
1;6;22;to;01;0.05;0
1;6;22;to;02;0.01;1
1;6;22;to;03;0;1
1;6;22;to;04;0.02;1
2;6;22;pe;01;0.03;0
2;6;22;pe;02;0.01;1
2;6;22;pe;03;0;1
2;6;22;pe;04;0.03;0
3;6;22;la;01;0.03;0
3;6;22;la;02;0.02;1
3;6;22;la;03;0.05;0
3;6;22;la;04;0;1
4;6;22;su;01;0.1;0
4;6;22;su;02;0.05;0
4;6;22;su;03;0.01;1
4;6;22;su;04;0.01;1
5;6;23;ma;01;0.02;1
5;6;23;ma;02;0.01;1
5;6;23;ma;03;0.01;1
5;6;23;ma;04;0.02;1
6;6;23;ti;01;0.02;1
6;6;23;ti;02;0.03;0
6;6;23;ti;03;0.03;0
6;6;23;ti;04;0;1
7;6;23;ke;01;0.01;1
7;6;23;ke;02;0;1
7;6;23;ke;03;0;1
7;6;23;ke;04;0.06;0
8;6;23;to;01;0.03;0
8;6;23;to;02;0.02;1
8;6;23;to;03;0.01;1
8;6;23;to;04;0.01;1
9;6;23;pe;01;0.02;1
9;6;23;pe;02;0.02;1
9;6;23;pe;03;0.02;1
9;6;23;pe;04;0.01;1
10;6;23;la;01;0.04;0
10;6;23;la;02;0;1
10;6;23;la;03;0.01;1
10;6;23;la;04;0.01;1
11;6;23;su;01;0.05;0
11;6;23;su;02;0.1;0
11;6;23;su;03;0.03;0
11;6;23;su;04;0.01;1
12;6;24;ma;01;0.03;0
12;6;24;ma;02;0.01;1
12;6;24;ma;03;0.02;1
12;6;24;ma;04;0;1
13;6;24;ti;01;0.04;0
13;6;24;ti;02;0.05;0
13;6;24;ti;03;0.04;0
13;6;24;ti;04;0.06;0
14;6;24;ke;01;0.01;1
14;6;24;ke;02;0.03;0
14;6;24;ke;03;0.01;1
14;6;24;ke;04;0.01;1
15;6;24;to;01;0.07;0
15;6;24;to;02;0.03;0
15;6;24;to;03;0;1
15;6;24;to;04;0.01;1
16;6;24;pe;01;0.03;0
16;6;24;pe;02;0.01;1
16;6;24;pe;03;0.02;1
16;6;24;pe;04;0.03;0
17;6;24;la;01;0.02;1
17;6;24;la;02;0.02;1
17;6;24;la;03;0.02;1
17;6;24;la;04;0.01;1
18;6;24;su;01;0.02;1
18;6;24;su;02;0.01;1
18;6;24;su;03;0.01;1
18;6;24;su;04;0;1
19;6;25;ma;01;0.06;0
19;6;25;ma;02;0;1
19;6;25;ma;03;0.06;0
19;6;25;ma;04;0.05;0
20;6;25;ti;01;0.08;0
20;6;25;ti;02;0.01;1
20;6;25;ti;03;0.01;1
20;6;25;ti;04;0.04;0
21;6;25;ke;01;0.03;0
21;6;25;ke;02;0.02;1
21;6;25;ke;03;0.02;1
21;6;25;ke;04;0.04;0
22;6;25;to;01;0.01;1
22;6;25;to;02;0;1
22;6;25;to;03;0.03;0
22;6;25;to;04;0.05;0
23;6;25;pe;01;0.03;0
23;6;25;pe;02;0.02;1
